         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0:34         540         540         540         540       25000              540    13500000    13500000       25000              540
 2/ 7/2018 10: 0:41         550         550         550         550       25000              550    13750000    27250000       50000              545
 2/ 7/2018 10: 2:47         540         540         540         540       25000              540    13500000    40750000       75000          543.333
 2/ 7/2018 10: 3:31         550         550         550         550       25000              550    13750000    54500000      100000              545
 2/ 7/2018 10: 3:32         540         540         540         540       25000              540    13500000    68000000      125000              544
 2/ 7/2018 10: 3:44         550         550         550         550       25000              550    13750000    81750000      150000              545
 2/ 7/2018 10: 3:51         540         540         540         540       25000              540    13500000    95250000      175000          544.286
 2/ 7/2018 10:10: 5         550         550         550         550       25000              550    13750000   109000000      200000              545
 2/ 7/2018 10:10: 6         540         540         540         540       25000              540    13500000   122500000      225000          544.444
 2/ 7/2018 10:10:19         550         550         550         550       25000              550    13750000   136250000      250000              545
 2/ 7/2018 10:10:25         540         540         540         540       25000              540    13500000   149750000      275000          544.545
 2/ 7/2018 10:16:13         530         530         530         530       25000              530    13250000   163000000      300000          543.333
 2/ 7/2018 10:18: 0         540         540         530         530       25000          533.333    13333333   176333333      325000          542.564
 2/ 7/2018 10:18: 1         540         540         540         540       25000              540    13500000   189833333      350000          542.381
 2/ 7/2018 10:18: 2         530         530         530         530       25000              530    13250000   203083333      375000          541.556
 2/ 7/2018 10:18: 5         540         540         540         540       25000              540    13500000   216583333      400000          541.458
 2/ 7/2018 10:18: 7         530         530         530         530       25000              530    13250000   229833333      425000          540.784
 2/ 7/2018 10:23:47         540         540         540         540       25000              540    13500000   243333333      450000          540.741
 2/ 7/2018 10:23:48         530         530         530         530       25000              530    13250000   256583333      475000          540.175
 2/ 7/2018 10:24: 0         540         540         540         540       25000              540    13500000   270083333      500000          540.167
 2/ 7/2018 10:24: 6         530         530         530         530       25000              530    13250000   283333333      525000          539.683
 2/ 7/2018 10:24:56         540         540         540         540       25000              540    13500000   296833333      550000          539.697
